S.No,Sentence,Annotator 1,Annotator 2,IAA,Char_Length,Word_Count,Is_English,label
643,Yea I agree with you on how there was no exact se t of laws at the beginning of creation. The reason I say that they most likely didn't marry their sisters is mostly cause God gets mad at Cain and places a mark on his head so everyone he runs across will not kill him unless they want to die a death 10 times worse than his. Kinda just says that there are other people out there.,Sarcastic,Sarcastic,Agree,379,78,True,Sarcastic
644,"I am curious about your position. Why have you chosen the nervous system and brain and organs as the cutoff points for the humanmeter? Have you done so arbitrarily? Does this mean that if these are not as you said ""completed and operating (developed)"" then we are not human? If this were true there would be alot of handicapped people who are not human. Christopher Reeve and all the other quadrapalegic and parapalegics like him would be in trouble. What IQ determines a fully developed brain?",Sarcastic,Sarcastic,Agree,494,86,True,Sarcastic
645,That could also be very effective in a positive manner during political campaign speeches.,Sarcastic,Sarcastic,Agree,90,14,True,Sarcastic
646,"Here is a little snippet from the Catholic Planet web page. Even they admit that there was copying going on. But you can ignore the evidence if you wish. It's what we expect from you.
",Sarcastic,Sarcastic,Agree,185,35,True,Sarcastic
648,yeah that would be fantastic if they came back... and killed tens of millions more people. that would be fantastic!!!! thanks for that... just because ;),Non-Sarcastic,Non-Sarcastic,Agree,153,26,True,Non-Sarcastic
650,"i am trying to show that in fact the crime rate is increasing, not that there is more than a change in how it is reported.   around here (my home county) we are doing much better.",Sarcastic,Sarcastic,Agree,179,36,True,Sarcastic
651,then where do rights come from and how do you know they exist? i commented on the part i felt needed to be commented on.,Sarcastic,Sarcastic,Agree,120,25,True,Sarcastic
652,"And here it is, corrected to remove that little hint of sensationalism that you feel is needed to drum up support for your cause.",Sarcastic,Sarcastic,Agree,129,24,True,Sarcastic
653,Yes it does but I have a feeling that it will take the bulldozer of the SCOTUS to make the 11 dominoes of the old confederacy +Utah fall down.,Sarcastic,Sarcastic,Agree,142,29,True,Sarcastic
654,"LMAO and where has been your outrage at GOP politicians cheating? Ensign, Bart Stupak? 
COME ON LMAO!!!! Your hypocrisy is so damn funny Easilyridden! REPENT!!",Non-Sarcastic,Non-Sarcastic,Agree,160,25,True,Non-Sarcastic
655,"Where in Canada is it illegal to defend yourself with a firearm, given sufficient threat?   And what did the Indians do to the Brown's to justify using deadly force?",Sarcastic,Sarcastic,Agree,165,29,True,Sarcastic
656,"studies about what? that some people are more talented than others?  i'm afraid that falls under the umbrella of 'common knowledge'. so? it would change nothing, since i was pointing out why i responded the way i did.",Sarcastic,Sarcastic,Agree,217,38,True,Sarcastic
657,"Here you are using the misogynist POV. No ""Rushspeak"" if you please.
",Sarcastic,Sarcastic,Agree,70,12,True,Sarcastic
658,Used against me? I never denied this. Surely you refer to this in terms of gay marriage. Considering I don't believe gay marriage is a right I don't see how my words do you any good.,Non-Sarcastic,Non-Sarcastic,Agree,182,36,True,Non-Sarcastic
659,"true dat. sundowner, have you seen the life of david gale? if not, i suggest you watch it; it might change your view.",Sarcastic,Sarcastic,Agree,117,23,True,Sarcastic
662,"Yet another alleged lie, by the Hillary-haters, shown not to be.",Sarcastic,Sarcastic,Agree,64,11,True,Sarcastic
666,Within one post.   Thanks for proving that creationist are incapable of discussing the original topic and automatically move to change the subject.,Sarcastic,Sarcastic,Agree,147,22,True,Sarcastic
670,"as an outside observer, these are my thoughts too. it's plain selfish and stubborn as far as i'm concerned, i'm surprised that the democratic party itself isn't stepping in, maybe they are behind the scenes. waxy",Sarcastic,Sarcastic,Agree,212,36,True,Sarcastic
671,"i'm surprised, maybe your area of the uk is different, but in mine nearly all atheists are hereditary, or they just break away from the religions of their parents because they dislike their parents instead of the religion.",Sarcastic,Sarcastic,Agree,222,38,True,Sarcastic
673,"Don't even think about contriving how gay marrige violates YOUR RIGHTS assmonkey. That's the most ludicrous, inane statement I have yet heard from the Religious Right.",Sarcastic,Sarcastic,Agree,167,26,True,Sarcastic
675,"You're obviously an Obama supporter, they're the only people who wouldn't be upset at his abusive tactics of threatening lawsuits against anyone that runs unfavorable ads against him, thus showing that he doesn't support the First Amendment.",Sarcastic,Sarcastic,Agree,241,37,True,Sarcastic
676,The human collective is the authority. One major advantage of this authority over a theistic one is that it actually exists.,Sarcastic,Sarcastic,Agree,124,21,True,Sarcastic
677,FYI you'll get sand in your ears from sticking your head in too deep....,Sarcastic,Sarcastic,Agree,72,14,True,Sarcastic
678,"Impressive. Misses the point, biggoted, and regionalistic. You've got a whole ignorance trifecta going there! Well done. emoticonXGood",Sarcastic,Sarcastic,Agree,134,18,True,Sarcastic
684,That is the premise of my question. On what basis can one claim that the Constitution makes this arbitrary designation with respect to the death penalty? I simply don't see any rational argument for it.,Sarcastic,Sarcastic,Agree,202,35,True,Sarcastic
685,"cbs sportsline is great, i love how everything refreshes quickly without having to refresh your page every five seconds.",Sarcastic,Sarcastic,Agree,120,19,True,Sarcastic
687,"Good. You're finally catching on ;-)
Likes ""folly""?? It's practically one of his children.",Sarcastic,Sarcastic,Agree,91,14,True,Sarcastic
688,"But the fact remains that guns are, by design, weapons.",Sarcastic,Sarcastic,Agree,55,10,True,Sarcastic
690,"My point stands, just because you can't get it has no impact at all on its validity. YouTube - The jokes on you...",Sarcastic,Sarcastic,Agree,114,23,True,Sarcastic
691,"And yet quantum physics tends to be very contradictory, at least to our perceptions. Acausal events happen. A particle can be in two places at the same time. A particle can disappear and reappear in a different location without traversing that distance. And et cetera.Since the beginning of our local universe occurred at quantum levels, I would be cautious about drawing philosophical conclusions based on our macro-world experiences.",Non-Sarcastic,Non-Sarcastic,Agree,435,68,True,Non-Sarcastic
693,So why should merchant ships be required to go unarmed and defenseless in dangerous areas?,Sarcastic,Sarcastic,Agree,90,15,True,Sarcastic
695,"If you'd have taken the time to watch the movie ""Expelled"" you wouldn't find it nearly so absurd. emoticonXAngel",Sarcastic,Sarcastic,Agree,112,19,True,Sarcastic
696,"I see. Does the fact that these so-called ""exposures"" are constantly and correctly destroyed by those with Logic not phase you?",Sarcastic,Sarcastic,Agree,127,21,True,Sarcastic
697,why is being christian seen as being 'conservative'? surely there are plenty of jewish and muslim conservatives. i've known some indian hindus (is there any other kind?) that were very conservative. what if there was a hindu organization that taught or espoused conservative values?  would they make these people's list? i doubt it.,Sarcastic,Sarcastic,Agree,332,53,True,Sarcastic
698,"Actually, this guy was an ex-con. It's illegal for a convicted felon to own firearms. Galileo actually helped us more than he helped you. This proves once again that criminals will always refuse to surrender their weapons.",Sarcastic,Sarcastic,Agree,222,37,True,Sarcastic
700,"Exactly. That the change in moth color was due to natural selection was first posed in about 1896 by J.W. Tutt. The funny thing is that as pollution increased, the moths turned black, and then as the pollution was cleaned up, they turned white again. carbonaria have become pretty scarce.",Sarcastic,Sarcastic,Agree,288,50,True,Sarcastic
701,"dear chloe, do you really want women tried for murder because they decide to take a pill that will cause an abortion? that is the only logical position a court can take once a zygote, embryo and fetus are legislated into the status of human beings. if one kills a human being, one is guilty of murder.",Sarcastic,Sarcastic,Agree,301,57,True,Sarcastic
702,"they weren't interested, remember? so your god punishes children for not being a member of the right 'club'. your god sounds more and more like a monster every time you mention him. once again, like with archie i have been wrong to assume you a bigot, you're a xenophobe.",Sarcastic,Sarcastic,Agree,271,49,True,Sarcastic
